epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88267,0.8346,1.85038,0.87729,1,0.30892,0.97112,0.74024,0.8132,2.02838,0.82796,0.00018,0.00018,0.08218
2,6.89247,0.66019,0.66534,0.82828,1,0.54983,0.95806,0.76612,0.63531,1.95287,0.81511,0.000369859,0.000369859,0.0633699
3,9.90365,0.62969,0.51602,0.83681,0.96936,0.875,0.98484,0.6376,1.19235,0.84305,0.91092,0.000559145,0.000559145,0.0445591
4,12.8312,0.73309,0.50113,0.85223,0.92233,0.98954,0.9804,0.73421,0.75876,0.62211,0.83035,0.000747427,0.000747427,0.0257474
5,15.7253,0.64011,0.44337,0.83066,0.98348,0.99216,0.99444,0.87409,0.48027,0.45269,0.79267,0.000934271,0.000934271,0.00693427
6,18.6659,0.58083,0.40928,0.81782,0.97003,0.99167,0.99048,0.84299,0.52456,0.44904,0.80072,0.000990489,0.000990489,0.000990489
7,21.5076,0.57967,0.39698,0.82103,0.9025,0.98667,0.96915,0.82996,0.49937,0.45291,0.79435,0.000986323,0.000986323,0.000986323
8,24.3722,0.54851,0.38274,0.81769,0.99337,0.99923,0.99498,0.84213,0.54423,0.39442,0.80102,0.000981415,0.000981415,0.000981415
9,27.2091,0.53382,0.36773,0.80916,1,0.99974,0.995,0.77911,0.81487,0.43586,0.8522,0.000975773,0.000975773,0.000975773
10,30.0758,0.48351,0.34937,0.80434,0.99834,0.99981,0.995,0.84764,0.60154,0.38332,0.80234,0.000969405,0.000969405,0.000969405
11,32.9573,0.47007,0.34199,0.80121,0.99992,0.99833,0.995,0.88072,0.4875,0.34787,0.79306,0.00096232,0.00096232,0.00096232
12,35.8392,0.43288,0.32174,0.7954,1,0.99954,0.995,0.91018,0.36973,0.3169,0.77847,0.000954531,0.000954531,0.000954531
13,38.7264,0.45434,0.32552,0.797,0.99822,1,0.995,0.91248,0.38438,0.32738,0.7829,0.000946048,0.000946048,0.000946048
14,41.6199,0.43164,0.3144,0.79586,1,0.99992,0.995,0.85869,0.5474,0.34925,0.79997,0.000936886,0.000936886,0.000936886
15,44.4914,0.41471,0.30128,0.79481,0.99999,1,0.995,0.86211,0.55788,0.34532,0.8063,0.000927057,0.000927057,0.000927057
16,47.4239,0.39251,0.29063,0.78825,0.9997,0.99833,0.995,0.95008,0.28305,0.31387,0.77479,0.000916577,0.000916577,0.000916577
17,50.3374,0.40428,0.28728,0.79003,0.99807,1,0.995,0.94265,0.29319,0.31585,0.77709,0.000905463,0.000905463,0.000905463
18,53.2173,0.35974,0.27123,0.78308,1,0.99611,0.995,0.92754,0.34794,0.30499,0.77953,0.000893732,0.000893732,0.000893732
19,56.1038,0.41612,0.28601,0.78747,0.99956,1,0.995,0.91992,0.34709,0.30785,0.77691,0.000881401,0.000881401,0.000881401
20,58.9633,0.39682,0.28475,0.78912,0.9998,1,0.995,0.89058,0.44234,0.30843,0.7857,0.00086849,0.00086849,0.00086849
21,61.8247,0.45832,0.29436,0.79219,0.9999,1,0.995,0.94353,0.30787,0.29453,0.77552,0.000855018,0.000855018,0.000855018
22,64.9024,0.41461,0.28095,0.7888,0.99983,1,0.995,0.9051,0.40957,0.28713,0.7861,0.000841006,0.000841006,0.000841006
23,67.8047,0.37477,0.27046,0.78332,0.99984,1,0.995,0.94107,0.32851,0.26298,0.77796,0.000826477,0.000826477,0.000826477
24,70.6932,0.38752,0.27069,0.78561,0.99982,1,0.995,0.94691,0.31808,0.25921,0.77786,0.000811452,0.000811452,0.000811452
25,73.5517,0.37361,0.2621,0.7882,0.99986,1,0.995,0.95435,0.2683,0.25432,0.77306,0.000795954,0.000795954,0.000795954
26,76.4371,0.34057,0.24857,0.78196,0.99985,1,0.995,0.92688,0.38062,0.28645,0.78329,0.000780007,0.000780007,0.000780007
27,79.3297,0.35441,0.25006,0.78681,0.99987,1,0.995,0.95925,0.26536,0.24151,0.77242,0.000763637,0.000763637,0.000763637
28,82.2347,0.40975,0.26667,0.78944,0.99987,1,0.995,0.89273,0.48261,0.30304,0.79301,0.000746868,0.000746868,0.000746868
29,85.0673,0.40773,0.2696,0.78902,0.99982,1,0.995,0.92293,0.33915,0.31517,0.78197,0.000729725,0.000729725,0.000729725
30,87.974,0.41732,0.27893,0.79054,0.99753,1,0.995,0.91452,0.3517,0.34561,0.78405,0.000712237,0.000712237,0.000712237
31,90.8833,0.38268,0.26365,0.78342,0.99978,1,0.995,0.88996,0.45082,0.2887,0.7877,0.000694428,0.000694428,0.000694428
32,93.7823,0.35129,0.24713,0.78261,0.99985,1,0.995,0.9067,0.40504,0.27061,0.7847,0.000676328,0.000676328,0.000676328
33,96.6039,0.34125,0.24221,0.7813,0.99986,1,0.995,0.91515,0.39762,0.26325,0.78281,0.000657963,0.000657963,0.000657963
34,99.4871,0.32628,0.24124,0.7809,0.99987,1,0.995,0.91755,0.37917,0.25963,0.78111,0.000639363,0.000639363,0.000639363
35,102.375,0.31614,0.23484,0.77954,0.99981,1,0.995,0.95425,0.26439,0.23896,0.773,0.000620555,0.000620555,0.000620555
36,105.31,0.34664,0.24064,0.77864,0.99985,1,0.995,0.89731,0.43418,0.27379,0.78424,0.00060157,0.00060157,0.00060157
37,108.147,0.36027,0.24525,0.77951,0.99982,1,0.995,0.94254,0.30755,0.24648,0.77489,0.000582435,0.000582435,0.000582435
38,111.046,0.33119,0.23434,0.77586,0.99983,1,0.995,0.90708,0.41002,0.26852,0.78584,0.000563181,0.000563181,0.000563181
39,113.982,0.31598,0.22767,0.77817,0.99986,1,0.995,0.95606,0.30028,0.24032,0.77381,0.000543837,0.000543837,0.000543837
40,116.887,0.3091,0.22091,0.77532,0.99987,1,0.995,0.96972,0.25942,0.22154,0.77115,0.000524434,0.000524434,0.000524434
41,120.244,0.32077,0.22781,0.77861,0.99985,1,0.995,0.9108,0.41656,0.26416,0.7842,0.000505,0.000505,0.000505
42,123.417,0.30961,0.22112,0.77607,0.99985,1,0.995,0.94775,0.31994,0.23018,0.77599,0.000485566,0.000485566,0.000485566
43,126.529,0.2986,0.21741,0.77616,0.99986,1,0.995,0.94257,0.34326,0.23148,0.77867,0.000466163,0.000466163,0.000466163
44,129.634,0.31853,0.21861,0.778,0.99986,1,0.995,0.96476,0.25572,0.21646,0.77191,0.000446819,0.000446819,0.000446819
