epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43911,1.63148,1.9502,2.04454,0.78772,0.83333,0.88867,0.63241,1.43718,1.40283,1.28371,0,0,0.1
2,9.48559,2.29061,3.22691,3.34418,0.78004,0.75,0.875,0.62151,1.44597,1.38697,1.27977,9.97288e-06,9.97288e-06,0.09901
3,9.8698,2.0171,1.94353,2.5274,0.83306,0.74956,0.87522,0.62164,1.44754,1.38738,1.27909,1.97837e-05,1.97837e-05,0.0980198
4,10.2036,2.00045,2.7729,2.68629,0.80173,0.75,0.87526,0.63184,1.47281,1.41667,1.28644,2.92732e-05,2.92732e-05,0.0970293
5,10.5621,1.84954,2.8488,2.45759,0.62941,0.4,0.6043,0.39176,1.65241,2.30567,1.47077,3.82882e-05,3.82882e-05,0.0960383
6,11.0587,1.94924,1.60471,2.53112,0.55089,0.26721,0.3107,0.15839,2.32706,4.66414,2.05073,4.66841e-05,4.66841e-05,0.0950467
7,11.5653,1.47882,1.34633,2.02454,0.22222,0.25,0.24833,0.04967,2.56085,5.71556,2.50162,5.43278e-05,5.43278e-05,0.0940543
8,12.0881,1.43046,1.11295,1.89566,0.08889,0.33333,0.24875,0.04967,2.88862,5.80125,2.97888,6.11e-05,6.11e-05,0.0930611
9,12.5935,1.59183,1.16439,2.01361,0.04861,0.25,0.11567,0.01157,3.00426,6.0026,3.47722,6.68976e-05,6.68976e-05,0.0920669
10,13.1108,1.29704,0.9819,1.67672,0.02381,0.16667,0.05528,0.01106,2.96357,6.18848,3.71023,7.16358e-05,7.16358e-05,0.0910716
11,13.6066,1.7417,1.26179,1.80525,0,0,0,0,3.33072,6.25535,4.70787,7.525e-05,7.525e-05,0.0900753
12,14.083,1.44458,1.32616,1.75224,0,0,0,0,3.24623,6.3799,4.79357,7.76968e-05,7.76968e-05,0.0890777
13,14.5792,1.63411,1.25082,1.86784,0.02778,0.16667,0.02764,0.00276,3.28886,6.37877,4.8624,7.89556e-05,7.89556e-05,0.088079
14,15.091,1.13451,1.05433,1.52241,0.00521,0.01667,0.00051,5e-05,3.3439,6.61234,4.75883,7.90291e-05,7.90291e-05,0.087079
15,15.5389,1.35174,0.98976,1.84764,0,0,0,0,3.42896,6.83624,4.79629,7.79438e-05,7.79438e-05,0.0860779
16,15.9887,1.07486,0.80307,1.50425,0,0,0,0,3.44315,6.5936,5.15072,7.575e-05,7.575e-05,0.0850758
17,16.4521,1.52478,0.8916,1.64369,0,0,0,0,3.37603,7.00631,4.94846,7.25213e-05,7.25213e-05,0.0840725
18,16.881,1.04137,0.75684,1.40159,0,0,0,0,3.37603,7.00631,4.94846,6.83542e-05,6.83542e-05,0.0830684
19,17.3537,1.07039,0.85799,1.40867,0,0,0,0,3.39767,7.19776,5.16162,6.33666e-05,6.33666e-05,0.0820634
20,17.834,1.30438,1.23566,1.33487,0,0,0,0,3.39767,7.19776,5.16162,5.76964e-05,5.76964e-05,0.0810577
21,26.1953,1.38384,1.15146,1.50567,0,0,0,0,3.42295,7.18241,5.61552,5.15e-05,5.15e-05,0.0800515
22,26.6247,1.19982,0.87142,1.6145,0,0,0,0,3.42295,7.18241,5.61552,4.49497e-05,4.49497e-05,0.0790449
23,27.0858,1.35244,0.87827,1.5916,0,0,0,0,3.59133,6.95475,6.02068,3.82317e-05,3.82317e-05,0.0780382
24,27.5154,1.01239,0.94798,1.42373,0,0,0,0,3.59133,6.95475,6.02068,3.1543e-05,3.1543e-05,0.0770315
25,27.961,1.37378,0.90386,1.63693,0,0,0,0,3.47662,7.28014,4.94293,2.50888e-05,2.50888e-05,0.0760251
26,28.3798,1.51926,0.98288,1.84537,0,0,0,0,3.47662,7.28014,4.94293,1.90794e-05,1.90794e-05,0.0750191
27,28.8138,1.44944,0.9059,1.67535,0,0,0,0,3.28466,7.15153,4.54878,1.37267e-05,1.37267e-05,0.0740137
28,29.2369,1.31665,0.77501,1.66987,0,0,0,0,3.28466,7.15153,4.54878,9.2413e-06,9.2413e-06,0.0730092
29,29.7226,1.27076,0.73348,1.75505,0,0,0,0,3.32346,7.08362,4.28874,5.82874e-06,5.82874e-06,0.0720058
30,30.1968,1.26255,0.7377,1.67643,0,0,0,0,3.32346,7.08362,4.28874,3.68638e-06,3.68638e-06,0.0710037
